name,ops,image_url,youtube_url,Unnamed: 4,Human Needs_Observer,Human Needs_Decider,Human Needs_Preferences,Letter_Observer,Letter_Decider,Animal_Energy Animal,Animal_Info Animal,Animal_Dominant Animal,Sexual Modality_Sensory,Sexual Modality_Extraverted Decider
Dono,FF-Fi/Se-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/YtOG4yO6PNzv2JCIviZCBQ/VvCLfi6bHQIiRrh3sDQPqCau_O_7x7JtN_09mwgPVM7oO6G8hOswJw6-jFJhGOJea42OPwJGbMd5HSBXei_9-Q/VfZrKbWdxYxkAiLzrxvao3Kr1BEMUZN59qr3TJeUma0,https://www.youtube.com//watch?v=r_6EPob2aZU,,Oe,De,DD,Fi,Se,Play,Consume,Info,F,F
Maisie Williams,FF-Fi/Se-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/CcmgAd2HvyACTjAFel0C9w/onFHK1laFu52kgkXhBO3kKHQJE9LradxNXwkatAS_ePaECPebk0pC4PNk3tcaEadKfFShbAB-sPa9QEcQCBfyQ/RazDutWbDvRB6MdEHLMI0T-BcyWo8AXvekPfwKmnQ7E,https://www.youtube.com//watch?v=Q_wkhdoE-c0,,Oe,De,DD,Fi,Se,Play,Consume,Info,F,F
Travis,FF-Fi/Se-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/sWP6_lZ_30bXuRFjk7At4w/LiUgYxGvYy3KqoBUX3lG--uKggTrQ3hVyIRCE38Xm7SLg40miRLFcCzURotKV-KOkPySKSkjSHusZWQ7zjjXrQ/ENX-3AFwPGRf6HQ4FbLYs0FKG4TXNOwPU0UTg8h23L8,https://www.youtube.com//watch?v=UnsUKlw3gUQ,,Oe,De,DD,Fi,Se,Play,Consume,Info,F,F
Liev Schreiber,MF-Fi/Ni-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/XjOjHTMLVUcQatSbDsNU-A/dBX2bSGACD879e4LvaK1G4xeU3JvAeoPSKFpatF5yLAswkNAZQ0StOTY88x2b-rZiL4NTSbQ61qfUOpD5-_9iA/oRZJPQ7HtpPffyzIAXCTF9tPO2-HGVRI3ghrfukM-4g,https://www.youtube.com//watch?v=0FN6Vr7GajA,,Oe,De,DD,Fi,Ni,Sleep,Consume,Energy,M,F
Lil Wayne,MF-Fi/Ni-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/guScs1PFLFXXi9dYW90Shw/G1aWkqhjCMs1PC6WqyOUMDBIY8sMfGqgf78h-y_gV9YIZaBgUCNiGlsT5zNz-IuHwPBHaUGgD81Z2OMX7RaxVQ/49vagJ-EbJg5EcKiiRN40iy2FsSkJR2GX5Mxie1WVvw,https://www.youtube.com//watch?v=ruBgybU__0U,,Oe,De,DD,Fi,Ni,Sleep,Consume,Energy,M,F
Wim Hof,FM-Fi/Ni-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/SfecpwhsDisvjVK-uZ8kZA/kc_Sm85KpjpmDzg81_EpUrqoW3ao1GzGrsIN7cZLH4aKSWSdn4AsTykPdDEzgPDnDWbY0Rux7cWHkUBqinGtLg/iDrY4xdz5SP4Sngskkyjgq4391ss_onMc_UShfww1dg,https://www.youtube.com//watch?v=QXfF8-kvQ8g,,Oe,De,DD,Fi,Ni,Sleep,Consume,Energy,F,M
Danielle Mansutti,FF-Fi/Ni-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/QKgGH5sOeCfBv6fCWm035w/KLQFEbfNUPblOdD6zd_3IcP01qvzutAoqIOwk5RmaSMYmaDNIuUy9H0DNS64i5rz1QPusAq_0_5l24N67KhCjQ/sIzDDUNbKzWyiMBW4EXpS7oi2EmMTCebmHe5Bhl8sys,https://www.youtube.com//watch?v=hbOnGALfVB4,,Oe,De,DD,Fi,Ni,Sleep,Consume,Energy,F,F
Ken Honda,FF-Fi/Ni-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/KKWFdRaA-E5-b4OJJ5ieWQ/-T4FRATpYZxZalBeTkVVGz4lLYuhsSH397Vv3vWMkBbZP2btR4koJSF02RTfgfvSUzYSZcZn78g8kDVpC6yssQ/kwuAsEZb_mJe9U1thTVqAWf0d8WxE3E1G-Do192HVCE,https://www.youtube.com//watch?v=FE1EBF4sQ5M,,Oe,De,DD,Fi,Ni,Sleep,Consume,Energy,F,F
Sol Eriksen,FF-Fi/Ni-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/XNczdqor7b-ItLap8BMkuw/afmTsyuuLN9sF54mkePQCkOKUB42cLTUqkPlDYJ_10s6j-AhjY25Jv_XLfu0rQfizAaY9dUipXOHgib3JdUe-g/nQtFNHeGOn_K2yYpbMJ9gr558-ml8lmey6h4zpx8xcw,https://www.youtube.com//watch?v=Z4Ug2ONxgYw,,Oe,De,DD,Fi,Ni,Sleep,Consume,Energy,F,F
Charles Benson,MF-Fi/Ni-SC/B(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/pveZNIVH7bR2pX0i0ygY6w/dL0wFPFPlfKmKsMerEkVC2urmmRnm1Oo2XIzG-UTo1PMuFkArK4Pwa2Of36Kt-AzxXXQiBYSyDEK6IUyPHY01A/ICD2Hbh9ghSUhZv1eQ2Hr9dIPU9qmc2vycWQSsMh-FA,https://www.youtube.com//watch?v=31WjP6XaaAs,,Oe,De,DD,Fi,Ni,Sleep,Consume,Info,M,F
Julien McLaren,MF-Fi/Ni-SC/B(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/QC_zHIPJrosNOqzxpXel8Q/RtDpy1QzqEq2VaqOFSskvOwhnkQWq0HEHCHOcPpIAx477FUOJkqFfUH0r8GjVbZsCLPOqP-VIpOOViIvdCAVmA/yVoiSaSDGsQda27_w00VVGQqvDMIj7AndcvZKVC1JkM,https://www.youtube.com//watch?v=cM_ZjI-85Pw,,Oe,De,DD,Fi,Ni,Sleep,Consume,Info,M,F
Matthew Broderick,FF-Fi/Ni-SC/B(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/3lHtmJNJ-hhDIYmFi4gm_Q/gWD_52haJoogl0noMNW6ida3XT6HgPRh5yIsQYw1mGG3GTQEs0F7Tlggbc3iHKgc4g_uSmqox2NaNx1OGlqA3w/rJ18Dn0otqlZA2VLmtAbNi761wfev2RoJ-KiozhZ9T8,https://www.youtube.com//watch?v=D_QiXypYxSM,,Oe,De,DD,Fi,Ni,Sleep,Consume,Info,F,F
Michael Jackson,MM-Fi/Ni-SB/P(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/dVPKRNc92aWQX_0l1heRoQ/LTPv5sYqjsC-UVS8_0Z7-zRlr7vHJ_kWZ4E_H8gmxfeTZ5BlykwvUj3PL0B8SoR4nrHDmNKiRN_fpMRa5rtJ7w/yx-x-3SFj4jT2bpVm_BlXIsKUeYQLwJ5HSDRM7D6_hM,https://www.youtube.com//watch?v=iVURfHs2W3I,,Oe,De,DD,Fi,Ni,Sleep,Blast,Energy,M,M
Sylvester Stallone,MM-Fi/Ni-SB/P(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/HQphpylerGxr2NEN7PjQ6g/1TO-tihco8q7lAkKr0ob9aGgIaK5w5yh-QtT3oP4q7QcRMoTV2JHM8hNiv0WYsj48o3AV8XN1_3sULhBgBkqvQ/xCxZKYDqexBjX6n1O-ERkobzKCmo0nQJj3xhlBW8iCU,https://www.youtube.com//watch?v=KNKGTaezASU,,Oe,De,DD,Fi,Ni,Sleep,Blast,Energy,M,M
Alistair Overeem,MF-Fi/Ni-SB/P(C),,https://www.youtube.com//watch?v=lXGkCkuRi0k,,Oe,De,DD,Fi,Ni,Sleep,Blast,Energy,M,F
Andrew Escobar,MF-Fi/Ni-SB/P(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/WsLTwOAEUvZog-0e1CMplg/hSGjjsE8O6Ap_OEUV6RFD5LwORpJQAkt2DXXkfmyxr7xiTMTyohuR0ojD09w7bQJrWr-I9wqUZO8L1dqaRwv0A/OUX3BhQ4k0gN4LpKmEAJq_n0-TDlF5zZKsp_tFl9W24,https://www.youtube.com//watch?v=CH7GDIVMGpo,,Oe,De,DD,Fi,Ni,Sleep,Blast,Energy,M,F
Alex Ikonn,MF-Fi/Ni-SB/C(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/jBNvMA5Riq4ycXfn052g6Q/sCSwOOgvNBLgpCeSo4sZtNaAAwC8Tnx6EigVksI0WBtc1ARLeJB0qZUjM0DbDuOT-W1RQzoFs-O6BTHzQ8gR-w/s9Mt734IEYY4FCQIu4YewcL3S14hj52eMuiRiIjR82w,https://www.youtube.com//watch?v=lauG8_2cYNs,,Oe,De,DD,Fi,Ni,Sleep,Blast,Info,M,F
Matt LeBlanc,FF-Fi/Ni-SB/C(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/xM2TLN4RDcgiqa4LsjIZzQ/R1uEMiV6bsc61gEw3aP9tk1QVTBKA8lEKnKDiBAErWStPgzOkpKp0rcY-M93TJm9bOYJJY0UjLut_qz75RwvjA/iWucXBUvgMT3Inev5Ws8SeoaJz9eCDLIwPCqHZXtK_s,https://www.youtube.com//watch?v=BItmi-kn3iY,,Oe,De,DD,Fi,Ni,Sleep,Blast,Info,F,F
Joaquin Phoenix,MM-Fi/Ne-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/XyObiUK6Pc8BCXW7FxQsUw/4uZQ7a0IkRQRBMOQHrn5Ssi9GZnfQoNFQs8rkoU6QWFKgQHsYlFSMd5WtIFuud3ZPEyIabxI_q7tfEJSMh0n8g/XI1AFurDJBil2T-0Kc1mzjwCAhIZDXJ6TvSbJO0a3wY,https://www.youtube.com//watch?v=Myp5I-FG3fc,,Oe,De,DD,Fi,Ne,Sleep,Consume,Energy,M,M
Aubrey Plaza,MM-Fi/Ne-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/zEELMa4crHZBFemyYFSIKQ/l6T9J2KEYV99NK1RqDIsJ5fM-I1li5Ay5eUh_W2MnDN3fOKpY8cMSOEm-jxvfHRt9E5Lez9uChHMr1qKhSoAPA/JsXrFqHOOE0_Vqk6PpVRlHO5HCIO7dFFAfTDn2ZEI50,https://www.youtube.com//watch?v=iS68LmqFVeA,,Oe,De,DD,Fi,Ne,Sleep,Consume,Energy,M,M
Caroline W,MM-Fi/Ne-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/kKkBl-jUnQGzjVwosL3Lrg/d-PdaUlvcGWUd_N9Fzpj1ErXzHQYid0JkORrsfPBJUEY6FG1earx0pCS6va_kpXPUR4QfHBduOR1FVaHIoh87w/2YuJPNQKL62fMJeC48dS0k-d_BhHjqWxNrGYByakBkA,https://www.youtube.com//watch?v=31E97CZbSY8,,Oe,De,DD,Fi,Ne,Sleep,Consume,Energy,M,M
Billy Corgan,MF-Fi/Ne-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/JLHmmvoJY5FAU7FQcDttVw/Xgu-3V2Iwzv4iJtMMlU86zGCwglqGGCyYu1KwQQEz21fyzhbJdizg_PNEcDGzixBzvJV0eHZX-ulu0AcEAxhcg/mxkH3qbZQKaW02dEdiQh5PY9evaiKbO2HfWn0l55Sfw,https://www.youtube.com//watch?v=Qk2H_aemtFA,,Oe,De,DD,Fi,Ne,Sleep,Consume,Energy,M,F
Yao Ming,MF-Fi/Ne-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/pS75UJ-d0d2DeDfzPX9WxA/Zf1wHgqfTjRNvTlmC0rkuFWckPUebgjgPq5WTsYkdOtZPVZnBFc5j7AjI0rpnWCs-1w9fvrUV8JQOfrIxkghjA/Xc6NX4BmpYwzNiMP2Xs1ujG9CSAMWDa6nHgHijGlt14,https://www.youtube.com//watch?v=-GbP-OR4opM,,Oe,De,DD,Fi,Ne,Sleep,Consume,Energy,M,F
David Bowie,FM-Fi/Ne-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/jct-AxsQtrKHB3TRhJutrQ/2i7S6QVFvnnOqZrWmoY1Fo8MIUH_7na6Xvpa-daoZ1o1bdAY753QB_9R2Y-iLC25Lszj9RDB-W4kDN0mqe1GeA/ZkpTvMYBtiTrId-zP2C0uv1cZw8rsMuC6h86Y67XwKc,https://www.youtube.com//watch?v=ExDfj-_D6Sk,,Oe,De,DD,Fi,Ne,Sleep,Consume,Energy,F,M
JK Rowling,FM-Fi/Ne-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/ORyHkXYvjN3ws6gyg2uzoQ/pwuBFKbYkf0lwf5d4a8Ng7Y3KlQwo0PfjA6x_BF32A9ZI23pVEJv5sjXOFx0LRqhmy4yeXBNQcqppr-a5fZ7PA/6dghqyG6bGCQVPgjRKDgDiIVwM7m-X8MsiKZwkhqeYA,https://www.youtube.com//watch?v=Mg3oCq_E8Os,,Oe,De,DD,Fi,Ne,Sleep,Consume,Energy,F,M
Nicole Kidman,FF-Fi/Ne-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/BIJ5N8Yy-RN7NyeXc3ue6g/dRs63RnIv__iH_9MdrhdirL83lhAHVTyKTOMaMXRJQtvk0bTjZxmoNnKUw6EVyiF8rag76bay-JuFYFUZudPsg/pxgVywFBkabV2QGK6a0xE6m3Dfuhk8nNnyCRGBD59Yg,https://www.youtube.com//watch?v=w26X-3DUjgQ,,Oe,De,DD,Fi,Ne,Sleep,Consume,Energy,F,F
Emma Watson,FF-Fi/Ne-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/9L3Bg7WpOh3z5MNtDYmRFA/WDsG7fweyka2ZGi3oMgrd76MExzMiJqGp73XWWB2ZDEvjthZcgZ0VuN0Jv85LVRZRrk5IM3cN1t20VK_dN1ijQ/BGq66dI9OHVgTcEl44lljSWT1FQ5GR6cJbqSQC2QqBs,https://www.youtube.com//watch?v=o2MkmSCYs0I,,Oe,De,DD,Fi,Ne,Sleep,Consume,Energy,F,F
Alexander McQueen,FF-Fi/Ne-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/i94VHZp1IHL-1ZZMwTat0A/FcFIaonHwfeeWRXfLc1E9cr1K9vG41VXrhTCJ4me_2rhUGv_gwKBrMo4s8dVqCTZ3RrwqzCNRLjVN1BJkl1Iew/AY8kCh8iEA3MjIA4wK74ohok-DfNDjqYh1XkP6ROffc,https://www.youtube.com//watch?v=542vMeyma4g,,Oe,De,DD,Fi,Ne,Sleep,Consume,Energy,F,F
Natalie,FF-Fi/Ne-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/a8p_vx4vmBTD01jOAnRvzw/_88GCrhUIrPsegoDZfhR3eLF3H7fCOtr5BuYXDD_yARDRaVlVP8y5k4Y3JUoGbjmqsJGSGhcnLA5qIRdhXiE4g/l1cUOAmrhgPVKYpwqshTknRDFYF63jATN73ngQSQny4,https://www.youtube.com//watch?v=3lHuLgWrJgY,,Oe,De,DD,Fi,Ne,Sleep,Consume,Energy,F,F
Florence Welch,FF-Fi/Ne-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/DzVOdzM0sUKBBi0rN94dKg/KcFjmWIoiXTB2HnFGNU4F5DsqZkQVVOiRiMCE44K12hkqV4wsYxb4DKB_jqQCvPvvDNuauONEKrvLO63Z8APcQ/CfvBLhesXLT-WxmPcegJAzny9QSBg0q3-lwfnA29CBM,https://www.youtube.com//watch?v=f-JXmwPYr2Q,,Oe,De,DD,Fi,Ne,Sleep,Consume,Energy,F,F
Jason Bateman,FF-Fi/Ne-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/rG15SjDIi_reyMOT9YMq9g/fH5PVzX9wW4rkEVUjnId-yOOwNu0nNpvcNvHX7bdyKmEUIlrugaBX9-K0a3EdwLRmKccFLVKzIFtiieBGv_kwg/QpU-_6QVxe6QOXYLjGD2ryuU8qb6yI0obcU_y4vd_9Q,https://www.youtube.com//watch?v=-ogBjyAGfOo,,Oe,De,DD,Fi,Ne,Sleep,Consume,Energy,F,F
John Paul White,FF-Fi/Ne-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/gXaPZUh26tMRYe-A4Y7HXQ/4kOtQfOljf08-bpaRdPXc8-0mXMVJ9LgTrcQitDCGauSQBlywRyH9REb4s0k3D0eAmTLoBV2Ig3rJDk9EpSjbA/eugbQVoAwn2EMISc_K16Gs_DDaAt3aV5KylYuXWKxCY,https://www.youtube.com//watch?v=86heZJSnPp0,,Oe,De,DD,Fi,Ne,Sleep,Consume,Energy,F,F
Link Neal,FF-Fi/Ne-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/Vk1ZI9ibL-26YzDTmek-rw/vLd8Gg11rXRVDveSMWUMMtiFA2FOe7WGYKqrHQTs0Bqd08OAjLxT_Kmu3O0HmCaEosSS7-YUozPP-77eBS8AMg/sCp2pc9jwMXlwfKMlipYxSLGFuj1aeJ7Yx_Qua3VLAA,https://www.youtube.com//watch?v=aA_ivmlFoCM,,Oe,De,DD,Fi,Ne,Sleep,Consume,Energy,F,F
Me An INFP,FF-Fi/Ne-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/zBofeC-l_IVzYT26plE04A/R5IzqDku_nI7Pny5DgHiEDq3K3vTR0knp9dNbh08He9FvoZvdUXD_3eo-BVbfCPYhzAWGX98n4S-Jc3d4GvBSw/N2fewXDxVbLWyV0kzgYGXdszzl-Q6la70-t7AphkPo4,https://www.youtube.com//watch?v=p8ExwkA7E0w,,Oe,De,DD,Fi,Ne,Sleep,Consume,Energy,F,F
Lizzy Caplan,MM-Fi/Ne-CS/B(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/-_056u29iY7b5yM1KkCLKA/6MosnhbcK25kbzqiwiNAf_WaC3HJfxDR2akMOv7JPdJ1TM3s5Vo1KFFtdwGEojaqCPh_NavrHFvJxDn3PAUD2Q/HzUJCfWFTxSmXXmBg2y1NSDsoNePrcoiZp9gOPca60U,https://www.youtube.com//watch?v=5GDvqKgtRGU,,Oe,De,DD,Fi,Ne,Sleep,Consume,Info,M,M
Seth MacFarlane,MF-Fi/Ne-CS/B(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/5wfg98xBg9T0KFaKugzqwg/MkSjeDcuU6DbXPJJJBu8lYSMYGpvhf4-nVGfvDQf41WDerUs_178h8QiaDZ5S7ei7pplQd3PUVV_FCrFuYsE-Q/pan7gNPbgn4Y68tn25XV5dkamz2hQSPiFo4dgDRfo4g,https://www.youtube.com//watch?v=a6lo4Kxy3gI,,Oe,De,DD,Fi,Ne,Sleep,Consume,Info,M,F
Ethan Hawke,FF-Fi/Ne-CS/B(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/Qifj8QE_E4_RE2EwG-Bujw/4Ja-oaLB2fOKB0ekZwLlx4m814EM2rKPeB2dtCd2Y4HHC3rhD9JCxgGrQPdSFG1Gg02z5ZV5QFBgqLa0zikBwQ/lXTk1JTlPSZKQ6UCjs9jzUyQUqkUt8jQ4MeT3mExKmQ,https://www.youtube.com//watch?v=Qc-yhFroSUc,,Oe,De,DD,Fi,Ne,Sleep,Consume,Info,F,F
Peter Berg,FF-Fi/Ne-CS/B(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/XWiP51JHFF7Sb6JF0uk3FA/oCiae1FBoTCWl-lfvqMwuedHe2bwltTRBoUdQn4qNoVoEgGZSRsagqv2jjeEDe5L-TDyG9wapW37KpgTWXH_eA/yuraZzQchBEyy7u343EDVzYRfY7LyWlZ-iVblR3FKnI,https://www.youtube.com//watch?v=ZjHuYBF7U1A,,Oe,De,DD,Fi,Ne,Sleep,Consume,Info,F,F
Sara de Hond,FF-Fi/Ne-CS/B(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/6F2v5rknMYQtCrYCwVNZfA/71qSdjiedMx5XAXCjLYVuKMWhe92Xax6nmOp90pBSG8VnBcHeN0qD1dIHFiBHZ15ERlcyZ-6qJL_Ojn6QTBblA/Ayt-Ix-dUyUjfAlrq63Ye49xXnMgvdjiRxJWkhImwiE,https://www.youtube.com//watch?v=l0ZxDbCNFcQ,,Oe,De,DD,Fi,Ne,Sleep,Consume,Info,F,F
Zendaya,MM-Fi/Ne-CP/S(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/vTgRXf6TX12UeALP3WEbjA/g-l4nU2GjZbHrOU9T-5wSU-zgLPJa7EZ3i5wUutwW7foAw5D0VJSIqG-bcVljEGAq5cjXyOBVANqVWMQN3zb8Q/QOJtztz1t_yuU_tZAPyHxr1gZ5qqLqpzt06vBDGXjmM,https://www.youtube.com//watch?v=fGSaj0f8M1c,,Oe,De,DD,Fi,Ne,Play,Consume,Energy,M,M
Jessie Uyeda,MM-Fi/Ne-CP/S(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/xXBsRy_NOFZMz1mnpKEkHA/_E7RgFLQZ27_Q9LqSAXxeo3LYUzNzalC-VTm_3lHKnR6zu6vwmIPeVRi7WcW-2oDkMXAdsJjPWl-96ZDhwhoTQ/DY9aBSXjnGZ0Jk90pOb9PxdJPZrqgK5N2O01vgkeN2Q,https://www.youtube.com//watch?v=RZMqrj18kjQ,,Oe,De,DD,Fi,Ne,Play,Consume,Energy,M,M
Natacha Barreto,MM-Fi/Ne-CP/S(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/At154virRfUWpDiFuf_JRw/pa5vjrgNT1I8_6Q41bxvysREh6GjZjI4zgu3ENdjTQ7pwtA_ozFgf0zp6qROcPcW9Gm81tmLLJQjEtp3hnhYNg/G_b4KvXWI_kVEtmJJf_yQ3fhaE5L7jBFozraRUt7v38,https://www.youtube.com//watch?v=ASR4Wlx44fI,,Oe,De,DD,Fi,Ne,Play,Consume,Energy,M,M
Chad Smith,MF-Fi/Ne-CP/S(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/YdJ2NuujmoFPpf1RV2A3vg/bti-pJhNpxiROseSvegzgTRfIN3NlJaoxTqXkhBWZU0Tx1B9mRX69P23XnGU2a549GVfVZnY9d48ypz4t3w-Lw/Z2qQKDksHO8rl3NM7_vTelSqZyLu7nX153xtspu-8Bc,https://www.youtube.com//watch?v=PmwJBB74GFs,,Oe,De,DD,Fi,Ne,Play,Consume,Energy,M,F
Patrick Wilson,MF-Fi/Ne-CP/S(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/RI3InoBiGZCtCAaBF1ZWXQ/qa8Ntzf9WIf8mjVNpowbgx6vf2y9sWqYqOH-xNm97aO3pA_SJLsm9steTWAawkO0z_1xaqg5jFnICHf3MlrGcQ/01KmJ_MQEaARO4JVwwTZd8o8MRnFuoPRmnIuKJB-yMo,https://www.youtube.com//watch?v=dgJITK5UXSE,,Oe,De,DD,Fi,Ne,Play,Consume,Energy,M,F
Seth Meyers,MF-Fi/Ne-CP/S(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/SPoMBxTjx1M0BWoBbpwY6g/OgQOvmLDOnck9kX_f0dxaGbUeU3aodTdhjnJ-_n9bz5YKVneDdgjCAIeCzAJkeyWbWsuYLX3S2Bqdacb7HEeqQ/wtPBCL3U21XaFMmujjQblE9RnwW7qOSa8Xd3YIBu8Ac,https://www.youtube.com//watch?v=QdkBOr93yqQ,,Oe,De,DD,Fi,Ne,Play,Consume,Energy,M,F
Will Ferrell,MF-Fi/Ne-CP/S(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/YlcVKE2hUGaPL5D2_ZUAJw/HRSF8rfFfBnwjc2H9YXxwD-45R5wQj0mpXHiOCSffRBLPANpjx524G3dktaJsR8LZHipGmBLX4MQL_0ydaJLhw/hkC4w8OsE5goILrPaXEXiESyEaDFMfgOT5XR5cFoVgw,https://www.youtube.com//watch?v=2Xw7-Yf9yqw,,Oe,De,DD,Fi,Ne,Play,Consume,Energy,M,F
Steve Carell,FF-Fi/Ne-CP/S(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/zHEkgdeqYATVM9PoUIqkDg/9lvcdEe3Ug2G7BQVK4XR4X-ExJevy9dfL6BhwTWtfqQd-pKzYLN-eEATciVvgyqk3bAITYY5FOaI3LsSMfGHNw/bjNRoy4Sbvvi2IV01_7T5fieclLM_UDolAqlo5ukuVg,https://www.youtube.com//watch?v=XCNsLEfexxg,,Oe,De,DD,Fi,Ne,Play,Consume,Energy,F,F
Tina Fey,FF-Fi/Ne-CP/S(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/Xpfec5oyz_TnS0v7fG3q0g/lA9MBBaRDEPgxJ1PBYPLWXLyiSLjIP6ARhMXlaeg0YEdhAdPubOAOitWZxqcgRo-pz_WpmOKVrExGwniPRBKPQ/GEpOqP2j5smSld2_YyaO30vMRRx3A5-QiJTo6VMcodw,https://www.youtube.com//watch?v=i7ZHmrC4QwQ,,Oe,De,DD,Fi,Ne,Play,Consume,Energy,F,F
Alexandria Lan,FF-Fi/Ne-CP/S(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/n8wAEeFBUcVnlZO8kxvtng/RpS7PGWEqs7Fokc0sBEy_1q1DYjIb44WOyBNKJJVi-v_qmEwqlptggsqxWP3bstUklX7Km0cUXrdzAw-SOzHjw/aJx5wrCxZ5_a1CRLxvjTPlXyZPD80Hdvd_tekNMiF-o,https://www.youtube.com//watch?v=HZaVXE5UqaQ,,Oe,De,DD,Fi,Ne,Play,Consume,Energy,F,F
Allison Mack,FF-Fi/Ne-CP/S(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/xZaNidIkUnfzn21dbv1AgA/-QIZThyv1ioccxf7gqU5PUNZU3H8qNwF_1GtdCqsLG8-LId0RRsAODhohsNPXC9y5LIkEkKX7TvgZJ3RzZZSwQ/iafUL0IRRNjlxa99-t5unUusK5zeAERx3jfm64eKzRo,https://www.youtube.com//watch?v=yhTHVvxQcEg,,Oe,De,DD,Fi,Ne,Play,Consume,Energy,F,F
Brett Harvey,FF-Fi/Ne-CP/S(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/Ri6MGDRJBOrxpURolqq31Q/GmnYPjQLav-Nnmrj0lN34X5TbQG0Jax5XPMkokI0v4LJitTiPtgr2t-q6gdz5D2j9KRGSwiis4VN50vq0vboBQ/eFfCSjhTjuZyrTbpiScuBuyAlwxhbZHGqL2ObnjntXY,https://www.youtube.com//watch?v=4aUwCyQWkF0,,Oe,De,DD,Fi,Ne,Play,Consume,Energy,F,F
Bryan Elliott,FF-Fi/Ne-CP/S(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/GzZ4rtTPOXAJs5YzjkvS-w/yxxXCXM3d3q9xjmzYz1IvtF5c0cjPzxeGVryjAbRCe_1oH9EjWbwv1jimpokHnn11uRPQ6-abyG4nDD1qSALGQ/2qcMSvj1KvqKku0UROQtjS3uhTBlCOro21Dpdfugvkc,https://www.youtube.com//watch?v=B0HL_yle2wQ,,Oe,De,DD,Fi,Ne,Play,Consume,Energy,F,F
Chris Evans,FF-Fi/Ne-CP/S(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/ftIQ0ZiNRy6Ym7HiR4YhAQ/7jmYr0NgNvvzqqS2q-tPweyh76-pFuVAQfAheVmO8YJ114OW9L3iAe5iCdyd0ZyaOVHGoSVJi2LhgqgvUsoxhg/FU9QW6CSyye_gWvILfmYMdqUBdq85qkE2QeKE9xsZ0E,https://www.youtube.com//watch?v=cG2kreNrHyM,,Oe,De,DD,Fi,Ne,Play,Consume,Energy,F,F
